cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,,,,,
116,338,1,2014-05-30 18:43:12 UTC,2%,"$36,199.95 ","$50,032.03 ","$13,832.08 ","$1,045.22 ",58,0,Enviada,,,,,
715,45,1,2021-06-17 13:09:32 UTC,1%,"$12,897.54 ","$19,848.55 ","$6,951.01 ",$232.12 ,100,1,Enviada,,,,,
755,494,1,2021-08-10 04:24:02 UTC,2%,"$122,236.31 ","$187,154.36 ","$64,918.05 ","$3,673.52 ",56,0,Enviada,,,,,
953,381,1,2011-02-23 07:57:58 UTC,2%,"$47,784.65 ","$59,530.61 ","$11,745.96 ",$955.04 ,109,3,Enviada,,,,,
1046,176,1,2010-11-15 16:03:28 UTC,2%,"$178,393.04 ","$214,294.19 ","$35,901.15 ","$10,219.66 ",22,4,Enviada,,,,,
1171,732,1,2020-05-04 21:51:58 UTC,2%,"$40,476.96 ","$56,464.88 ","$15,987.92 ","$20,976.06 ",2,0,Enviada,,,,Enviada,527
1434,560,1,2020-01-31 00:02:49 UTC,2%,"$137,637.62 ","$192,947.94 ","$55,310.32 ","$2,861.61 ",100,0,Enviada,,,,Aprovada,514
1744,159,1,2016-03-04 20:31:58 UTC,2%,"$1,317.13 ","$1,605.63 ",$288.50 ,$36.08 ,60,2,Enviada,,,,Em análise,468
1864,776,1,2019-09-13 10:21:31 UTC,1%,"$106,127.47 ","$128,472.96 ","$22,345.49 ","$1,774.93 ",98,4,Enviada,,,,Validação documentos,491
1928,421,1,2014-05-08 15:43:27 UTC,2%,"$3,455.61 ","$6,668.98 ","$3,213.37 ",$211.33 ,20,2,Enviada,,,,,
41,608,2,2021-03-04 08:08:46 UTC,1%,"$168,359.68 ","$235,794.55 ","$67,434.87 ","$35,058.12 ",5,4,Enviada,,,,,
416,342,2,2015-10-11 14:28:01 UTC,2%,"$112,227.05 ","$215,028.75 ","$102,801.70 ","$3,156.68 ",59,1,Enviada,,,,,
581,81,2,2022-03-19 23:43:49 UTC,2%,"$59,901.04 ","$112,333.57 ","$52,432.53 ","$1,309.80 ",100,6,Enviada,,,,,
678,788,2,2011-02-03 06:12:10 UTC,2%,"$111,091.75 ","$167,331.74 ","$56,239.99 ","$5,459.06 ",25,3,Enviada,,,,,
1272,673,2,2012-10-13 07:02:05 UTC,2%,"$53,294.79 ","$69,167.42 ","$15,872.63 ","$1,370.96 ",78,6,Enviada,,,,,
1469,895,2,2022-04-08 06:23:32 UTC,2%,"$38,892.28 ","$68,709.07 ","$29,816.79 ","$1,298.52 ",46,6,Enviada,,,,,
91,117,3,2010-03-24 01:05:13 UTC,2%,"$71,838.24 ","$111,779.56 ","$39,941.32 ","$1,616.71 ",86,1,Enviada,,,,,
102,859,3,2021-06-16 09:12:09 UTC,2%,"$107,696.23 ","$199,719.09 ","$92,022.86 ","$2,441.64 ",79,2,Enviada,,,,,
523,587,3,2012-12-31 07:51:31 UTC,2%,"$42,714.08 ","$51,641.15 ","$8,927.07 ","$1,835.94 ",31,6,Enviada,,,,,
979,778,3,2014-06-28 16:57:58 UTC,2%,"$104,763.13 ","$157,840.73 ","$53,077.60 ","$2,717.98 ",106,4,Enviada,,,,,
1564,419,3,2013-11-10 00:28:30 UTC,2%,"$13,502.18 ","$21,466.99 ","$7,964.81 ","$1,668.47 ",9,5,Enviada,,,,,
86,938,4,2013-06-17 23:23:46 UTC,1%,"$3,184.44 ","$5,522.97 ","$2,338.53 ",$61.34 ,90,5,Enviada,,,,,
209,635,4,2011-06-10 22:53:56 UTC,1%,"$161,192.35 ","$233,647.20 ","$72,454.85 ","$19,205.79 ",9,6,Enviada,,,,,
226,88,4,2010-05-08 06:27:52 UTC,2%,"$121,138.65 ","$154,297.83 ","$33,159.18 ","$2,680.15 ",109,6,Enviada,,,,,
543,710,4,2014-06-19 18:52:17 UTC,2%,"$41,698.07 ","$66,347.38 ","$24,649.31 ","$1,081.40 ",74,4,Enviada,,,,,
886,138,4,2016-06-26 23:19:30 UTC,2%,"$17,467.40 ","$25,261.08 ","$7,793.68 ",$522.54 ,56,1,Enviada,,,,,
1045,934,4,2016-05-15 21:08:53 UTC,2%,"$180,566.24 ","$239,033.99 ","$58,467.75 ","$13,425.47 ",16,3,Enviada,,,,,
1566,648,4,2015-10-07 14:06:02 UTC,2%,"$15,578.91 ","$30,167.01 ","$14,588.10 ","$4,056.70 ",4,4,Enviada,,,,,
1573,395,4,2013-01-20 11:07:21 UTC,1%,"$131,608.20 ","$167,117.91 ","$35,509.71 ","$2,490.08 ",87,3,Enviada,,,,,
23,358,5,2020-05-30 04:42:27 UTC,1%,"$13,338.29 ","$18,727.61 ","$5,389.32 ",$252.24 ,81,0,Enviada,,,,,
352,249,5,2014-12-06 01:59:40 UTC,1%,"$27,214.51 ","$33,278.95 ","$6,064.44 ","$3,166.18 ",9,3,Enviada,,,,,
1291,928,5,2013-12-30 18:42:28 UTC,2%,"$101,775.63 ","$147,301.56 ","$45,525.93 ","$9,206.44 ",13,4,Enviada,,,,,
308,335,6,2022-08-09 15:51:27 UTC,2%,"$138,074.89 ","$177,330.72 ","$39,255.83 ","$3,698.41 ",71,3,Enviada,,,,,
1120,114,6,2011-10-04 08:23:32 UTC,1%,"$6,214.07 ","$9,537.71 ","$3,323.64 ",$282.84 ,26,4,Enviada,,,,,
1390,806,6,2018-11-15 02:42:49 UTC,2%,"$103,211.59 ","$124,934.78 ","$21,723.19 ","$5,401.37 ",26,2,Enviada,,,,,
1639,827,6,2013-12-09 22:00:45 UTC,1%,"$155,881.86 ","$206,120.59 ","$50,238.73 ","$3,091.64 ",82,2,Enviada,,,,,
72,983,7,2022-03-21 04:49:19 UTC,1%,"$60,091.11 ","$109,302.14 ","$49,211.03 ","$2,755.60 ",25,1,Enviada,,,,,
1121,572,8,2010-01-07 12:30:10 UTC,2%,"$185,357.39 ","$234,345.58 ","$48,988.19 ","$4,913.90 ",110,2,Enviada,,,,,
1669,65,8,2022-09-24 01:37:57 UTC,2%,"$88,993.97 ","$116,726.64 ","$27,732.67 ","$1,851.35 ",111,5,Enviada,,,,,
906,787,10,2015-09-17 07:18:09 UTC,2%,"$106,954.15 ","$183,309.59 ","$76,355.44 ","$2,471.99 ",73,4,Enviada,,,,,
1861,905,10,2012-02-20 12:54:02 UTC,2%,"$2,130.44 ","$2,850.11 ",$719.67 ,$70.04 ,49,3,Enviada,,,,,
1911,127,10,2021-02-17 16:43:26 UTC,2%,"$55,943.24 ","$72,010.93 ","$16,067.69 ","$1,425.58 ",62,5,Enviada,,,,,
1956,336,10,2015-11-20 19:09:20 UTC,2%,"$62,196.85 ","$81,395.72 ","$19,198.87 ","$2,031.15 ",43,2,Enviada,,,,,
487,635,11,2015-05-05 18:40:19 UTC,2%,"$13,134.53 ","$20,036.49 ","$6,901.96 ",$355.12 ,62,4,Enviada,,,,,
553,511,11,2014-04-07 09:13:03 UTC,1%,"$54,924.84 ","$67,689.85 ","$12,765.01 ","$1,498.33 ",44,3,Enviada,,,,,
87,528,12,2021-07-03 18:31:08 UTC,2%,"$54,837.44 ","$80,436.10 ","$25,598.66 ","$1,182.23 ",99,0,Enviada,,,,,
230,561,12,2014-06-17 01:23:40 UTC,1%,"$177,882.89 ","$225,362.93 ","$47,480.04 ","$20,938.93 ",9,3,Enviada,,,,,
478,551,12,2016-01-06 08:08:03 UTC,2%,"$80,871.28 ","$113,384.93 ","$32,513.65 ","$2,038.15 ",98,3,Enviada,,,,,
1222,876,12,2018-07-18 09:59:32 UTC,1%,"$56,134.72 ","$77,171.78 ","$21,037.06 ","$2,159.26 ",30,6,Enviada,,,,,
1413,498,12,2020-08-21 12:01:47 UTC,2%,"$1,702.59 ","$2,118.23 ",$415.64 ,$97.78 ,21,1,Enviada,,,,,
1728,545,12,2017-12-17 12:46:31 UTC,2%,"$31,701.49 ","$49,986.53 ","$18,285.04 ",$675.64 ,118,1,Enviada,,,,,
1875,973,12,2017-05-28 06:08:20 UTC,1%,"$113,668.20 ","$145,713.86 ","$32,045.66 ","$5,335.22 ",25,2,Enviada,,,,,
53,489,13,2021-11-30 01:11:53 UTC,1%,"$68,601.86 ","$90,359.89 ","$21,758.03 ","$1,305.72 ",85,5,Enviada,,,,,
576,905,13,2018-07-29 06:28:27 UTC,1%,"$74,902.22 ","$108,072.51 ","$33,170.29 ","$1,599.37 ",75,0,Enviada,,,,,
673,927,13,2020-07-20 09:16:36 UTC,2%,"$122,043.34 ","$193,809.71 ","$71,766.37 ","$4,187.84 ",46,4,Enviada,,,,,
875,429,13,2019-02-04 17:53:39 UTC,2%,"$142,939.10 ","$185,095.87 ","$42,156.77 ","$73,286.36 ",2,3,Enviada,,,,,
1159,332,15,2017-08-14 11:30:11 UTC,1%,"$12,489.68 ","$19,344.59 ","$6,854.91 ",$326.56 ,52,4,Enviada,,,,,
1339,429,15,2015-11-10 13:13:00 UTC,2%,"$36,926.13 ","$44,548.77 ","$7,622.64 ",$996.83 ,66,0,Enviada,,,,,
1846,642,15,2018-02-13 23:35:58 UTC,1%,"$117,394.81 ","$227,027.50 ","$109,632.69 ","$7,668.48 ",17,1,Enviada,,,,,
22,355,16,2021-05-14 18:13:36 UTC,1%,"$31,123.47 ","$42,496.51 ","$11,373.04 ",$496.49 ,91,6,Enviada,,,,,
46,575,16,2019-03-14 04:06:15 UTC,2%,"$43,183.00 ","$78,427.34 ","$35,244.34 ",$986.70 ,119,6,Enviada,,,,,
839,174,16,2019-10-05 15:24:50 UTC,2%,"$145,336.82 ","$195,421.72 ","$50,084.90 ","$16,375.16 ",10,2,Enviada,,,,,
896,705,16,2012-04-24 11:31:09 UTC,1%,"$114,732.00 ","$216,856.25 ","$102,124.25 ","$1,838.67 ",99,5,Enviada,,,,,
1251,533,16,2017-04-23 00:37:41 UTC,2%,"$26,362.31 ","$33,955.36 ","$7,593.05 ","$1,673.69 ",19,4,Enviada,,,,,
1393,853,16,2012-06-05 20:29:13 UTC,1%,"$30,487.99 ","$52,975.78 ","$22,487.79 ",$823.34 ,51,0,Enviada,,,,,
1540,984,16,2022-03-17 00:37:06 UTC,2%,"$134,454.66 ","$170,958.40 ","$36,503.74 ","$3,953.81 ",70,3,Enviada,,,,,
1799,688,16,2015-01-14 05:30:39 UTC,1%,"$152,770.39 ","$208,553.81 ","$55,783.42 ","$2,273.23 ",113,2,Enviada,,,,,
